image;name;alias;come_from;history;features;height;live_up;ship;last_seen;behaviors;notes
;ALLGRUULK;the builders;constellation Sculptor;an ancient race of reptilians that has gone extinct.;building ships and other devices needed for deep space travelling.;;230;;near Tokoyo(Japen) in 2005;Search for new raw materials;They are also space-travellers themselves,searching for new raw materials.
;KILLY-TOKURT;;constellation Vela,near the star Suhail AI Muhlif.;;They can shap-shift and are very hard to detect.;2;200;;on earth in July of 2008.;abduct humans;"When they shap-shift the only thing they can not change is the size and colour of their eyes.
They are one of the oldest known races."
;PLEYADIYANS;;solar systems surrounding the Pleyadiyes stars,more precisely from the planet Erra near the star Taygeta.;;"They are associated with spiritual growth.They practice ""sex cultivation"",the distinct difference between their sexual expressions and their sensual emotions.";2.5;;"Their ships are known as ""beamships"".";"Although regularly visiting Earth,they have remained mostly ""silent"" since 10.000 BC.";;"They are one of the oldest known races.
They continue to develop the neccessary mental skills to eventually reach their goal:an even higher ""spiritual state""."
;KYLLIMIR-AUK;;constellation Volans;;"The sightings of this race on Earth are rare and they are considered as ""a mystery race"".";;;;December of 1989;;It is said that they were forbidden to visit Earth around the year 1.000 BC,but they did not stop visiting Earth compeletelyÿ
;KURS;God of Lands;the planet Dillimuns;"Believed to be related to the race Anunnaki.They are the race ""behind"" the story of Enlil and Ninlil.";;;;;;;"on the developement of the Human race during our early stages.After centuries away from Earth they have recently returned.Their own leader is amongst the most recent visitors.
They will now stay on Earth permanently... they will have an important role in the years to come.
They spend time immersed in a precious gold-like liquid that presumably extends their life span."
;HAV-HANNUAE-KONDRAS;;galaxy Sextans Dwarf SPH.;First visited Earth in 934 AD in the area that we now know as Romania.;;;;;Scotland,in 1996.;They often abduct and kill humans...they also drain and drink the blood of Humans as well as the blood of animals.;"They are responsible for the myth of vampires.
Sereral Human governments know and accept their actions.
Then Human bodies that they ""used"" are never returned."
;MAZAREK;;consellation Camelopardalis.;From the 1300's to the early 1900's(our calendar)they were not allowed to leave their planet by other alien races.;"They are very violent and ""predatory"" race.
They are known to be allies of the race Maitre.";1.6;;;August of 2001.;;
;AL -GRUUALIX;;constellation Cetus,near Deneb Kaitos Shemali.;Although there are ofen confused with reptilian races,they do not share anything with them except their appearance.;This is one of 21 races that are known to have more than 2 genders(sexes).This race has 8 different genders and all of then can reproduce with each other.;2;350;;near Lima(Peru) in December of 2004.;The purpose for their visits Earth is unknown.;
;"""THE MESSENGERS""";;;"Probably the most enigmatic of all alien races...not much is known about them.
They visit Earth around every 300 years.
Their next visit is supposed to happen anytime nowÿ";They do not reveal themselves,they do not make direct contact with humans.;;;"Their ships have the shape of a ""tear drop"" and are silver in colour.";;They leave carvings,drawings and writtings on rocks as well as symbols in historical monuments.;
;RAMAY;;Capella,constellation Auriga.;"Known to be a peaceful race.They try to co-exist with Humans.
They ""created"" the Mayan civilization (culture) by placing humans from different places on Earth in South America.";"They are race of ""scientists""...They taught the Mayans about astronomy and ""time"".";;;;Bora-Bora in 2001.;"They left Earth when the Mayans were at their highest splendor.
After that the Mayans started the well known ""blood sacrifices"" in their honor.
This race has been on Earth many times after that...";
;MOOVIANTHAN-KAYPHIK;"""shinning ones""";constellation Vulpecula.;They have met with (at least) 2 USA Presidents as well as with USSR and (now)Russian leaders and some high-ranking officials.;"They supply limited amounts of their technology to humans in exchange for the ""freedom"" to conduct abductions.They do not involve other alien races in this process.
";;;;712 AD;"They had a big role of Siberian and Tibetan culture.
They still have bases in those areas hidden in the north-face of moutains.
They have colonized over 40 planets outside our solar system...so far!";"Of the 58 races desribed here,this is the race that least visited Earth(that we know of so far)... only 5 times.
They visited the area we know as the middle-east and that created the belief in the ""Jinn""(or ""genies"") in Islamic mythology.
According to some Muslims scholars they inhabit an unseen world in a dimension beyond the existing dimensions of our universe.
According to the reports from other alien races,they stopped visiting Earth because their immuse system could not copy with Earth's fauna and flora."
;"""INVISIBLES""";;constellation Mensa.;Both the USA and Russian military have developed technlogy that allows them to track them down on radar (just the ships).;"This race is know as have been ""seen"" near high-security areas.
They are almost completely invisible to the naked eye.";;;;;"3 things about konwn about this race:
1-they leave a sour smell when they are near.
2-when they are near windows you can ""see"" their reflections as a ""smudged-like"" figure (have been caught on cctv footage)
3- when many dogs (or only 1)start barking with no apparent reason,it is possible that they are nearby (or Reptoids/Reptilains)";Purpose of presence:unknown
;ALLMAHULUK-STRAT-163;;Supposedly they come from Jupiter or from one of its moons.;"They were forced to leave Earth after lossing a battle against Reptoids in ancient India (date unknown),which there had been visiting for around 200 years.
They have resumed their visits to Earth in 1948.";"Technologically this is a very advanced race.
";;;invisible;Portugal,May 2005.;;Their ships are offen invisible(to radar and the Human eye)and they wear some sort of clothing that makes them invisible as well.
;AINANNA;;constellation Gemini.;"The memebers of this race are the cause why Humans coined the term ""Martians"".";;;;;"First recorded visit to Earth:1235 BC in Japen.
Last sighting:Madagascar,2003.";They have had permanent bases on Mars for thousands of years,wehre they mine some sort of a gold-like material.;
;INDUGUTK;"""Tall white""";;This race has several bases on and in the Moon,where they mine (unkown material).;"They use ""slaves"" to do most of their work...these ""slavesz"" are extremely well taken care of,and the Indugutk see them as ""indispensable"".";;;;;"Their operations on and in the Moon are very secretive.
They are in almost permanent contact with High-ranking officals from the USA,China and Russian Fed. governments.
They have the ability to shape-shift into an almost perfect Human form.
They are also known as ""Men in Black"",as they use special dark suits(to protect their skin) when in Human-shape while conducting special operations on Earth.";
;KILLIMAT-ARR;K-ARR;constellation Crux,near Gacrux.;Both the USA and Russian military have developed a special camera and radar system that allows to spot them when they are on Earth.;It is a very hard to track down or spot.;;;;Bermuda Trangle;"But even then,they have only been sighted 8 times.
The purpose of their presence is unknown.";
;2017;;galaxy UDFJ-39546284.;They have only contacted Humans one time:in the USSR in 1935.;"According to reports they spoke some kind of Slavic dialect.
They left a writen message with about 10 sentences.";"tall,had blonde long hair and ""smelled like flowers""";;;;"Estimated distance from Earth (our standard) is 13.2 billion light years.
They travel by using what other alien races call ""worm-hole"",which allows them to ""bend"" space.
(note from myself and Petro)";"On the original ARB(our copy/edition),9 of the sentences left by this race are ""blacked-out""...they only one that is not is this one:
""2017-2022"""
;EL-MANOUK;;constellation Grus,near the star Alnair.;"They co-created the alliance of the 5 races(""Council of the Five""),but are not part of it.";They are one of most peaceful races.;;;;near the Sea of Cortez,September 2002.;;"The ""Council of the Five"" are a group of 5 alien races that protect Humans against less peaceful races.
They ""coined"" the sentence:""5 universes,2500 species,1 race""
The Council is supposed to meet on Earth during the last 10 days of August of 2013,the reason being the fact that Earth has been receiving ""too many"" visits from new races in the past 500 years."
;JIGHANTIK;;;;;;;;;;
